features,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53
Industrial/11/11/kullmann/AES/Benchmarks/64/aes_64_1_keyfind_1.cnf.gz,596,2780,400,2248,0.49,0.236654804,0,0.177935943,0.40776987,0.761171225,0,1,1.700614666,0.00997331,0.267903505,0.005,0.0125,1.205814352,0,0.09252669,0.391459075,0,0.00997331,0.597986128,0.004003559,0.024466192,2.543529677,0.029116831,0.0554347,0,0.25,1.360608736,0.002264235,0.568112968,0.00088968,0.005338078,2.130840835,0.289590747,0.003914591,0.538784981,0.002224199,0.008896797,0,0.021019871,0.366953011,0.004003559,0.036032028,3.438301137,0.309537009,0.226856476,0.181168831,0.48,2.760686695,0.26
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/bioinfo/q_query_3_l42_lambda.cnf.gz,30006,148836,7024,60765,3.271924829,1.449370526,0.68,0.115592858,0.495804433,0.664473888,0,1,1.422911998,0.000479814,0.381966811,0.000284738,0.00142369,1.31504724,0,0.190586686,0.754776598,0.01,0.000479814,1.415762847,1.6457E-05,0.004295236,3.083060625,0.359531004,0.163390969,0,1,3.16179038,0.000215216,1.157940039,0,0.00411421,2.820535245,0.549954744,0.000466757,1.845549382,3.2914E-05,0.01219452,0.17,-1,0,-1,0,-512,-1,0,-1,0,0,20.01
Industrial/12/SATCompetition2011/application/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf.gz,34510,701694,31688,697544,0.089055794,0.005949445,1.76,0.045427959,0.054260015,2.874604814,0,1,0.44232253,0.000117959,0.157041111,6.3115E-05,0.000252461,0.627019913,0,0.071605519,0.192889624,0.1,0.000117959,1.514992762,7.168E-06,0.001148315,4.853522565,0.031352431,0.050648845,0,0.555555556,1.836400772,9.828E-06,2.389967449,1.434E-06,0.000646554,2.359373485,0.125382772,0.000139681,1.116044224,8.602E-06,0.00076841,3.38,-1,0,-1,0,-512,-1,0,-1,0,0,20.05
Industrial/12/SATCompetition2011/application/SAT_RACE06/velev-pipe-sat-1.0-b9.cnf.gz,118038,8780591,105928,8734216,0.114322936,0.005309578,113.25,0.012127935,0.918399052,0.267186749,0,1,0.530094361,2.6855E-05,3.091281769,1.8881E-05,0.003200287,0.394336571,0,0.926211694,0.97603288,1.29,2.6855E-05,6.996725135,8.01E-07,0.006484039,5.399320768,0.580807299,0.275969799,0,0.985185185,4.246551154,1.8898E-05,6.721876985,0,0.004305366,5.130908988,0.975955484,3.8678E-05,4.383439341,8.01E-07,0.00535755,41.4,0,0,0,0,-512,0,0,0,0,0,73.83
Industrial/12/satrace2010/cryptography/mizh/sha0_36_5.cnf.gz,50073,210223,20577,120346,1.433445109,0.746821664,0.73,0.170982002,0.409254981,0.434125432,0,1,1.035927551,0.000164785,0.186379698,9.7196E-05,0.00024299,0.917399606,0,0.08065079,0.528584249,0.02,0.000164785,0.512369429,4.9856E-05,0.000465325,2.557664179,0.018891971,0.038242795,0,0.4,0.822134018,8.4709E-05,0.501454307,1.6619E-05,0.000232662,2.30578479,0.528933242,6.6413E-05,0.519730349,3.3237E-05,0.000174497,1.35,0.000294082,0.427772543,4.9856E-05,0.000681369,3.730684737,0.254668645,0.281731409,0.088749126,0.571428571,3.282947686,7.63
Industrial/12/SATCompetition2007/industrial/velev/SAT4.0/9vliw_m_9stages_iq3_C1_bug2.cnf.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial/09/APPLICATION/SAT_RACE08/cnf/mizh-md5-48-5.cnf.gz,66892,279256,26735,157595,1.502038526,0.771985152,1,0.169643707,0.405708937,0.412165176,0,1,1.005386244,0.000126701,0.182294238,7.4808E-05,0.000187021,0.90208745,0,0.071981979,0.540677052,0.03,0.000126701,0.60892131,4.4418E-05,0.000456867,2.360248625,0.020504812,0.038443589,0,0.333333333,0.969382032,6.5342E-05,0.591378365,1.2691E-05,0.000228434,2.066714701,0.529293442,4.8828E-05,0.488529153,2.5382E-05,0.000152289,2.28,0.000244296,0.427886123,3.8072E-05,0.00050763,3.70258599,0.276447577,0.224788475,0.105263158,0.482213439,3.083874817,11.41
Industrial/12/SATCompetition2011/application/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf.gz,37432,147345,15837,115375,1.363578961,0.277096425,0.77,0.137265439,0.413756638,0.773286701,0,1,1.588385895,0.000229958,0.64150233,0.000126287,0.002336301,1.368224779,0,0.334821235,0.488260022,0.01,0.000229958,2.206640686,6.9339E-05,0.007375948,2.934075237,0.102467264,0.155676848,0,0.72,1.666883328,0.00011231,1.385859179,1.7335E-05,0.002478873,2.60298353,0.592546046,0.000169657,1.813746315,4.3337E-05,0.004125677,0.82,-1,0,-1,0,-512,-1,0,-1,0,0,20.08
Industrial/11/09/diagnosis/UTI-10-5t1.cnf.gz,108508,527595,36036,229850,2.011100011,1.295388297,1.86,0.156780509,0.398706075,0.98049921,0,1,1.410179629,7.3965E-05,0.428081234,5.55E-05,0.0002775,1.034164601,0,0.600717859,0.887974766,0.04,7.3965E-05,0.6279961,1.7403E-05,0.000308897,3.105351216,0.224268517,0.151538644,0,1,3.121168314,4.5166E-05,0.764875979,1.3052E-05,0.000217533,2.779602767,0.742375462,7.6743E-05,0.555051315,1.7403E-05,0.0003263,4.14,0.000109759,0.634561252,0,0.000778769,3.673483186,0.123098312,0.572189907,0,0.666666667,3.002570926,9.52
Industrial/12/SATCompetition2007/industrial/narain/clauses-8.cnf.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial/11/09/bitverif/maxxororand/maxxororand064.cnf.gz,92464,276623,24904,136416,2.712817218,1.027789995,2.32,0.182559231,0.480206654,0.736859404,0,1,1.61076348,0.000139822,0.766352234,8.0308E-05,0.002610022,1.490891462,0,0.296372859,0.746430038,0.02,0.000139822,1.800383491,5.1314E-05,0.002624326,2.420095891,0.149016326,0.183369036,0,0.882352941,2.317168597,4.8913E-05,1.35960297,7.331E-06,0.001114239,2.060640406,0.498079404,0.000123511,1.987761582,3.6653E-05,0.002917546,2,-1,0,-1,0,-512,-1,0,-1,0,0,20.13
Industrial/12/SATCompetition2011/application/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf.gz,298900,1409628,150440,868292,0.986838607,0.623449254,7.52,0.173259687,0.388086474,0.983089312,0,1,1.379106713,1.8314E-05,0.48038647,1.3294E-05,6.6472E-05,1.037329979,0,0.58496105,0.873106052,0.13,1.8314E-05,0.545386884,8.062E-06,4.6067E-05,2.569040774,0.26252124,0.163765813,0,0.818181818,2.842637535,1.0711E-05,0.536090558,3.455E-06,2.8792E-05,2.314123769,0.73203139,1.9854E-05,0.513236613,4.607E-06,4.6067E-05,71.6,-1,0,-1,0,-512,-1,0,-1,0,0,20.07
Industrial/11/05/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial/11/03/li/li-exam/li-exam-61.shuffled-as.sat03-366.cnf.gz,28147,108436,22582,94840,0.246435214,0.143357233,0.73,0.238106284,0.453948056,0.747884583,0,1,1.405635053,0.00016577,1.560444278,8.8566E-05,0.007439554,1.034377701,0,0.106484606,0.618778996,0.02,0.00016577,0.338490245,4.2176E-05,0.002288064,2.100983063,0.127995917,0.230638967,0,1,1.668914259,6.1969E-05,0.372505314,1.0544E-05,0.000105441,2.1351197,0.45403838,0.00055109,2.171949168,4.2176E-05,0.027108815,1.71,0.000227719,0.794923207,4.2176E-05,0.004966259,2.980414655,0.369013885,0.211228416,0.009564249,0.709090909,3.105299588,7.27
Industrial/12/SATCompetition2011/application/SAT11/application/manthey/traffic/traffic_b_unsat.cnf.gz,26061,742909,25957,742878,0.004006626,4.173E-05,1.82,0.034941134,0.053838585,2.863946368,0,1,0.439930634,0.000144785,0.146576425,7.7051E-05,0.000231152,0.590722146,0,0.059876588,0.182072965,0.11,0.000144785,1.308017951,6.731E-06,0.001078239,5.16316317,0.022288013,0.036085046,0,0.5,1.716290642,1.1171E-05,2.321965444,1.346E-06,0.000607098,2.606123946,0.114431979,0.000165145,0.959866491,8.077E-06,0.000721518,2.34,-1,0,-1,0,-512,-1,0,-1,0,0,20.06
Industrial/12/SC2012_Application_Debugged/satrace-unselected/ibm/2002/31_2_rule_2/SAT_dat.k80.debugged.cnf.gz,120000,534661,43466,292932,1.76077854,0.825205167,2.61,0.14838256,0.306160861,1.178801708,0,1,1.797028556,7.7059E-05,0.673993594,4.6013E-05,0.00039111,1.49868103,0,0.582019035,0.724229514,0.04,7.7059E-05,1.007011587,2.3896E-05,0.000822717,3.51731052,0.190990435,0.156107333,0,0.884615385,3.434606666,4.0444E-05,0.935922406,6.828E-06,0.000392583,3.012108212,0.674538801,8.7888E-05,0.826047963,1.3655E-05,0.000812475,6.08,-1,0,-1,0,-512,-1,0,-1,0,0,20.03
Industrial/12/SATCompetition2007/industrial/velev/SAT4.0/9vliw_m_9stages_iq3_C1_bug10.cnf.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial/12/satrace2010/software-verification/fuhs/AProVE07-27.cnf.gz,7729,29194,3611,19862,1.14040432,0.469841909,0.17,0.181804451,0.32174576,0.884748422,0,1,1.568230194,0.000870016,0.34023267,0.000553863,0.002215453,1.373363623,0,0.312053167,0.687644749,0,0.000870016,3.149838976,0.000352432,0.155724499,2.575129082,0.128922013,0.128351126,0,0.666666667,2.571335832,0.000474501,4.428235193,0.000100695,0.120279932,2.36827659,0.600845836,0.000513122,2.787520364,0.000251737,0.074614842,0.04,-1,0,-1,0,-512,-1,0,-1,0,0,20.13
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/diagnosis/ACG-20-5p1.cnf.gz,331196,1416850,219138,1044843,0.51135814,0.356041051,7.57,0.209732946,0.327113257,1.113490298,0,1,1.339838309,1.2122E-05,0.423709452,9.127E-06,4.5633E-05,1.011325953,0,0.603297337,0.889046488,0.17,1.2122E-05,0.796548567,6.7E-06,6.4124E-05,2.302921443,0.136545509,0.157284347,0,0.733333333,2.292454353,7.513E-06,0.805113362,2.871E-06,4.4026E-05,2.088220988,0.748636877,1.2141E-05,0.877549509,4.785E-06,6.9867E-05,151.54,-1,0,-1,0,-512,-1,0,-1,0,0,20.09
Industrial/11/11/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf.gz,36410,121578,14260,78857,1.553295933,0.541752793,0.71,0.180833661,0.430527202,0.677995129,0,1,1.524348471,0.000258824,0.70956161,0.000140252,0.002524544,1.354747505,0,0.130540092,0.722916165,0.01,0.000258824,1.934470616,7.6087E-05,0.00450182,2.454527793,0.201232647,0.243993268,0,0.875,2.295796921,9.0426E-05,2.156873789,1.2681E-05,0.00161051,2.320295684,0.381335836,0.00028305,1.701662534,7.6087E-05,0.005985518,0.67,-1,0,-1,0,-512,-1,0,-1,0,0,20.01
Industrial/11/03/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf.gz,36809,142491,30365,128200,0.212218014,0.111474259,0.71,0.236856474,0.450240498,0.746631931,0,1,1.414462106,0.000135567,2.06143458,6.5865E-05,0.005664416,1.045249604,0,0.100148206,0.617308892,0.03,0.000135567,0.347678419,6.2402E-05,0.000468019,2.209115276,0.161128787,0.288539608,0,0.9,1.639536147,4.6042E-05,0.371836026,7.8E-06,7.8003E-05,2.121802249,0.451825273,0.000868589,2.06916181,3.1201E-05,0.01099064,3.09,-1,0,-1,0,-512,-1,0,-1,0,0,20.02
Industrial/11/07/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf.gz,112764,468539,51131,327639,1.205393988,0.430046484,2.18,0.156058955,0.363307698,1.030489896,0,1,1.796324138,6.3681E-05,0.618668699,3.9115E-05,0.000352037,1.501305687,0,0.511392111,0.726076566,0.06,6.3681E-05,1.309497893,2.1365E-05,0.001034675,3.198883034,0.209211305,0.16356386,0,0.911111111,3.251860538,3.0355E-05,1.187875659,3.052E-06,0.000503603,2.821564937,0.603050919,6.5323E-05,0.933297501,1.2209E-05,0.000714201,8.37,-1,0,-1,0,-512,-1,0,-1,0,0,20.04
Industrial/12/satrace2008/post-c32s-ss-8.cnf.gz,53752,148393,13761,65966,2.906111474,1.249537641,1.21,0.208607464,0.443997009,0.793485161,0,1,1.321306783,0.00023181,1.676577148,0.000145338,0.007266914,1.061854596,0,0.41607798,0.871100264,0.01,0.00023181,1.064999488,0.000106115,0.003031865,2.191100932,0.190006899,0.124013445,0,0.959183673,1.759993763,0.00010475,1.2377484,1.5159E-05,0.002001031,1.967173153,0.586468787,0.00068023,0.832573201,7.5797E-05,0.008913683,0.62,0.000668698,1.189082788,6.0637E-05,0.007776733,4.133932553,0.127555192,0.661677431,0.004791097,0.7,3.036696895,13.79
Industrial/12/satrace2010/software-verification/nec/hard-18-U-10652.cnf.gz,1987351,5963534,284996,1954958,5.973259274,2.050466557,325.18,0.145781137,0.49995404,0.768684448,0,1,1.740075184,1.3077E-05,2.921385793,7.018E-06,0.003410574,1.486587465,0,0.440232987,0.775757331,0.36,1.3077E-05,3.681497541,3.069E-06,0.00256118,3.376035572,0.228993607,0.223853442,0,0.98989899,3.21025196,5.651E-06,2.748614183,0,0.000758584,2.686438315,0.457697301,0.000106933,2.389102337,2.046E-06,0.003011318,258.32,-1,0,-1,0,-512,-1,0,-1,0,0,20.16
Industrial/09/APPLICATION/SAT_RACE08/cnf/manol-pipe-c10nid_i.cnf.gz,252516,750877,41437,320735,5.093973985,1.34111338,4.1,0.129193883,0.378182019,0.695412263,0,1,1.768869107,9.4236E-05,0.378914472,4.8266E-05,0.00103772,1.618890056,0,0.120997085,0.469736699,0.05,9.4236E-05,2.060377199,2.1825E-05,0.01283926,2.87703743,0.169209956,0.147332625,0,0.970149254,2.766499788,3.3174E-05,2.417154549,0,0.006466397,2.519492024,0.453963552,7.6477E-05,1.80141563,1.5589E-05,0.0072708,5.52,-1,0,-1,0,-512,-1,0,-1,0,0,20.04
Industrial/11/11/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf.gz,70297,194006,17110,78757,3.108533022,1.46334929,1.87,0.21725053,0.41978361,0.753244289,0,1,1.583174865,0.000229104,1.1904433,0.000116891,0.005201636,1.39859614,0,0.189354597,0.760554617,0.02,0.000229104,1.994202108,1.2697E-05,0.024924769,2.919123796,0.187691004,0.136952197,0,1,2.915660372,0.000100184,1.681570645,0,0.015363714,2.495677131,0.610218774,0.00033159,1.057083822,1.2697E-05,0.006348642,0.95,-1,0,-1,0,-512,-1,0,-1,0,0,20.09
Industrial/12/satrace2008/simon-s02b-r4b1k1.2.cnf.gz,2424,14812,2106,14230,0.150997151,0.040899508,0.16,0.147997189,0.456758034,1.013458858,0,1,1.383839169,0.001530547,1.021548707,0.000949668,0.011396011,0.959332962,0,0.772312017,0.820660576,0,0.001530547,1.538464093,0.000562193,0.016163036,2.709647321,0.135006425,0.120884021,0,0.703703704,2.484936081,0.000630832,1.599496661,7.0274E-05,0.007308503,2.238684213,0.621855235,0.002189374,0.550398637,0.001264933,0.009978918,0.02,0.00732879,0.862733303,0.000632467,0.036401968,4.854807667,0.184780955,0.327414791,0.047569136,0.397435897,3.122639487,14.61
Industrial/09/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor032.cnf.gz,4210,12053,785,5320,4.363057325,1.265601504,0.09,0.147556391,0.628072112,0.567616686,0,1,2.064838237,0.005595517,0.847029492,0.002547771,0.044585987,1.891262797,0,0.402631579,0.538909774,0,0.005595517,1.085519229,0.001315789,0.032330827,3.48991608,0.257248202,0.218570055,0,0.733333333,3.351927184,0.001281787,1.108337186,0,0.006766917,2.491269556,0.466729323,0.006511182,0.770478546,0.001315789,0.02518797,0.01,0.01889338,0.99063573,0.00093985,0.140789474,5.31344894,0.069037747,0.976661341,0.002777778,0.490909091,2.687223224,6.08
Industrial/12/satrace2010/mixed/diagnosis/UTI-20-10p0.cnf.gz,259616,1374599,138309,942285,0.877072352,0.458793253,6.9,0.146780433,0.401171666,0.915696909,0,1,1.414198674,2.0229E-05,0.441039501,1.446E-05,7.2302E-05,1.091953305,0,0.524302095,0.868430464,0.16,2.0229E-05,0.730436205,7.429E-06,7.4288E-05,3.068041715,0.223604959,0.149278308,0,0.833333333,2.902721808,1.1345E-05,0.83779536,3.184E-06,4.9879E-05,2.757763135,0.697699741,2.2089E-05,0.644730447,5.306E-06,8.0655E-05,60.36,-1,0,-1,0,-512,-1,0,-1,0,0,20.07
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf.gz,61164,209228,33165,154105,0.844233379,0.357697674,1.23,0.215210408,0.363499088,0.707600193,0,1,1.253146156,9.4254E-05,0.23046398,6.0305E-05,0.000301523,1.016335733,0,0.157567892,0.739210279,0.02,9.4254E-05,1.347773181,4.5424E-05,0.009000357,2.4970439,0.054382954,0.077966241,0,0.666666667,1.815392939,4.5064E-05,1.993960166,6.489E-06,0.006820025,2.279947155,0.511093086,4.8661E-05,1.80819541,2.5956E-05,0.007994549,3.49,-1,0,-1,0,-512,-1,0,-1,0,0,20.03
Industrial/09/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate016.cnf.gz,2087,6212,1105,4553,0.888687783,0.364375137,0.02,0.242697123,0.369884133,0.803813037,0,1,1.201949714,0.002587126,0.311398203,0.001809955,0.018099548,0.989977695,0,0.31166264,0.849769383,0,0.002587126,0.649886187,0.001976719,0.01625302,1.656257963,0.086486294,0.075598846,0,0.6,1.580800553,0.001050871,0.741027791,0.000439271,0.007247968,1.404823684,0.490006589,0.001895424,0.69317373,0.001098177,0.012079947,0.01,0.004450306,0.738750056,0.001537448,0.023500988,2.910890476,0.155189868,0.535315542,0.01955694,0.454545455,2.866813393,0.12
Industrial/12/SC2012_Application_Debugged/satrace-unselected/ibm/2002/20_rule/SAT_dat.k60.debugged.cnf.gz,120872,498390,36032,267929,2.354573712,0.860156982,3.23,0.134483389,0.362584139,1.027047628,0,1,1.938128606,9.6443E-05,0.675285063,5.5506E-05,0.000721581,1.605446379,0,0.530151645,0.665575582,0.05,9.6443E-05,1.224074373,2.6126E-05,0.001268993,3.649173176,0.217176401,0.158151944,0,0.733333333,3.641059342,4.4555E-05,1.271381088,7.465E-06,0.000533723,2.979347663,0.605447712,0.000104971,1.022233363,1.8662E-05,0.001276458,4.21,-1,0,-1,0,-512,-1,0,-1,0,0,20.03
Industrial/11/11/leberre/2dimensionalstrippacking/E04N18.cnf.gz,7794,120068,5821,86870,0.338945198,0.382157246,0.63,0.067008173,0.768778312,0.495496779,0,1,0.840672549,0.001004184,0.570073799,0.000343584,0.008761381,2.186226172,0,0.173385519,0.327604466,0.01,0.001004184,2.71818948,8.058E-05,0.012651088,1.837678784,0.40323219,0.211594517,0.212121212,0.96875,1.477431665,0.000899859,3.006031691,2.3023E-05,0.012397836,1.983722704,0.951870611,0.000363253,1.110829799,0.000241741,0.004685162,0.15,-1,0,-1,0,-512,-1,0,-1,0,0,24.86
Industrial/12/satrace2010/software-verification/babic/dspam_dump_vc972.cnf.gz,274451,908255,151831,682329,0.807608459,0.331110066,4.73,0.222518756,0.43077158,0.588608881,0,1,0.644905057,1.9827E-05,0.15209061,1.3173E-05,0.000428108,0.231746314,0,0.022801317,0.977137129,0.11,1.9827E-05,1.74561964,5.862E-06,0.002252579,1.064236433,0.082344191,0.028867787,0,1,0.982491496,5.87E-06,1.775666461,0,0.000872013,0.938768359,0.302335091,1.1379E-05,1.625066059,5.862E-06,0.000845633,72.97,-1,0,-1,0,-512,-1,0,-1,0,0,20.11
Industrial/12/SATCompetition2011/application/SAT09/APPLICATIONS/bioinfo/q_query_3_l46_lambda.cnf.gz,33090,165828,7889,68970,3.194447966,1.404349717,0.75,0.114383065,0.496701372,0.661365497,0,1,1.404223138,0.000427596,0.379679544,0.000253518,0.001267588,1.30088248,0,0.184413513,0.757604756,0.01,0.000427596,1.47060337,1.4499E-05,0.004132231,3.049368479,0.363749738,0.163498114,0,1,3.144339958,0.000188896,1.211353285,0,0.003972742,2.798061271,0.541307815,0.000418526,1.918062261,2.8998E-05,0.011787734,0.21,-1,0,-1,0,-512,-1,0,-1,0,0,20.01
